articleTitle.auto(),articleBody.auto(),difficulty.auto(),sourceURL.auto(),fake.boolean(),factCheck.auto(),factCheckURL.auto(),imageURL.auto(),index.auto()
This is a Rare Pagoda Flower that Blooms Once Every 400 years,Several news outlets have circulated images about a rare flower that only blooms once every 400 years in the Himalaya.,hard,NULL,TRUE,"This is fake news. This picture does not show such a flower (nor the “auspicious Mahameru flower”) but rather a plant called the Rheum nobile. While this large plant is native to the Himalayas, it does not bloom once every 400 years. 
Please click on the link to view the full fact check:",https://factcheck.afp.com/flower-not-rare-and-blooms-every-year,https://i.ibb.co/GpTD88X/medium13.png,12
NITB Cyber Alerts,"A malicious video named ""Argentina"" is circulating on WhatsApp that shows how the COVID-19 curve is flattening in Argentina. Do not open the link as it hacks your phone in 10 seconds & it cannot be stopped in any way.",easy,https://perma.cc/R9RV-5USL?type=image,TRUE,"This is fake news. This message is a hoax and can easily instill fear and cause panic. Such message traits can also cloud one’s judgements and it is important that readers cross-check with other reliable sources before forwarding such warnings. 
Please click on the link to view the full fact check:",https://factcheck.afp.com/hoax-warning-about-whatsapp-virus-resurfaces-online-pakistan,https://i.ibb.co/yFMpqD7/hard13.png,13
The Feel Good Page,Wow… a very rare baby Albino Bat… Bina,medium,https://perma.cc/W3G7-ZZUH?type=image,TRUE,"This is fake news. This is a misleading claim, and the bat featured is in fact a handmade wool toy. 
Please click on the link to view the full fact check:",https://factcheck.afp.com/these-photos-show-stuffed-toy-not-real-bat,https://i.ibb.co/RSGtHFT/easy14.png,13
The Fascinating Reason Why There Are No Mosquitoes at Disney World,"There are no mosquitoes in The Most Magical Place on Earth. That's right, Disney World is so dedicated to making sure you have the time of your life that they've made the bugs practically disappear. How do they pull that off? No, the answer isn't magic. Vlogger Rob Plays delved into the answer in a video spotted by Neatorama.

It would be a feat to get rid of pesky mosquitoes anywhere, but Disney World is in Florida, a.k.a. swamp territory, where insects are more abundant than other places. Bugs are annoying, but they're also dangerous if they're carrying diseases like Zika, and Disney has a responsibility to protect its guests. In short, Disney gets rid of the pests by employing a comprehensive program that includes spraying insecticides and maintaining natural predators, and they do all of this with a level of vigilance that's fearsome to behold.

The park has something called the Mosquito Surveillance Program to manage it all. There are carbon dioxide traps everywhere, and once they catch bugs, the team at Disney freezes and analyzes the population to determine how best to eradicate them. Interestingly enough, they also employ the use of chickens. These sentinel chickens, as they're called, live in coops all over Disney World. While these feathered employees are going about their daily life, their blood is being monitored for mosquito-borne diseases like West Nile virus. Lucky for the chickens, they don't get sick from the virus—but if they do pick it up, the Disney team knows where in the park they got it from so they can deliver a swift blow to the mosquitoes in that area.

You may also notice that the video is populated by clips of the Seven Dwarfs spraying insecticides. If you're wondering how you missed a lengthy sequence in which Happy, Grumpy, and co. did battle with the local insect population in 1937's Snow White and the Seven Dwarfs, you didn't. The clips come from a separate propaganda film that Disney made during World War II called The Winged Scourge, all about the dangers of malaria and the insects that carry it. The disease caused major casualties for the Allies while fighting in the Pacific Ocean theater of World War II.

Next time you're visiting Disney World, be sure to appreciate the relatively insect-free utopia before returning to the real world.",hard,https://www.mentalfloss.com/article/548281/reason-why-there-are-no-mosquitoes-in-disney-world,TRUE,"This is fake news. Claims on how there are no mosquitoes at Disney World have been circulating online for years, but this is a false and exaggerated claim, as many have come forward to share their encounter with mosquitoes at Disney World. 
Please click on the link to view the full fact check:",https://www.snopes.com/fact-check/disney-world-mosquitoes/,https://i.ibb.co/fYtQkBR/medium14.jpg,13
"New York artist creates ""art"" that is invisible and collectors are paying for that","27-year-old artist Lana Newstrem says she is the first artist in the world to create invisible ""art"".

""Just because you can't see anything, doesn't mean I didn't put hours of work into creating a particular place.""",easy,https://www.facebook.com/AmazingThingOfficial/posts/3961451450649458,TRUE,"This is fake news. There is no artist by the name of Lana Newstrom selling “invisible art”. Fact checks and reverse searches found that this image appears to be altered, and there is in fact art pieces on the wall in the original image. 
Please click on the link to view the full fact check:",https://checkyourfact.com/2021/06/22/fact-check-new-york-artist-invisible-art/,https://i.ibb.co/KKZ925V/hard14.jpg,14
LATEST: Colour-coded Masks to Differentiate Those Vaccinated and Unvaccinated in Utah,"Utah to pilot a ""National Mask Code"" where citizens would be required to wear a certain color of mask depending on their vaccination status - vaccinated people to wear blue ones, while unvaccinated people would wear red masks.",medium,NULL,TRUE,"This is fake news. Utah Department of Health has clarified that it did not put up this poster and the information is false. There is no “National Mask Code” implemented. Fake news can propagate rapidly in uncertain times like the pandemic and it is vital that readers verify news with official sources for further authentication.  
Please click on the link to view the full fact check:",https://www.reuters.com/article/uk-factcheck-mask-code-idUSKBN29A2H5,https://i.ibb.co/g3zZwqQ/easy15.png,14
Starbucks faces drinks ingredients shortage in US,"Starbucks has been hit by supply shortages in the US meaning some drinks are unavailable for customers.

The coffee chain said it was seeing ""temporary supply shortages"" for items such as oat milk.

A Starbucks spokeswoman said: ""Specific items will vary by market and store, and some stores will experience outages of various items at the same time.

She apologised for any ""inconvenience"" faced by customers and said it was working with vendors to restock items.

Starbucks customers in the US who open the firm's app are also currently greeted with a message apologising for any shortages.

Other than oat milk, Starbucks would not confirm which other ingredients were affected.

But an internal memo, seen by Business Insider, suggests that 25 different products are on a ""temporary hold"" including hazelnut syrup, chai tea bags and green iced tea.

Caffeine addicts on social media have also been complaining about not being able to order their favourite drinks.

Others said they had noticed that no caramel flavouring or lemonade was available in their local outlets.

Some members of staff also posted about the frustration of having to explain the situation to customers.

One wrote that the firm had not anticipated such a significant number of customers returning to cafes and restaurants as coronavirus restrictions ease.

The BBC asked Starbucks for specific details about why there were shortages.

The company said in an emailed reply: ""The temporary supply shortages occurring in the US on some products is attributable to the supply chain constraints.""

Earlier this week, it announced that customers in the US would be allowed to start using reusable cups again to get a discount on their drinks in company-owned cafes.

The Seattle-based firm is among a number of companies in the US facing supply chain issues and a shortage of workers in recent weeks.

Fast food firm Chick-Fil-A, for example, recently said ""industry-wide"" shortages meant it had had to limit dipping sauces, while Mexican chain Chipotle said it was raising prices across its menu by 4% to pay for wage increases and rising food costs.",hard,https://www.bbc.com/news/business-57431265,FALSE,"This is real news. Challenges are not completely elusive for the popular coffee chain, as they certainly did face supply shortage over the summer of 2021. Readers in this case can look at the news source as a cue of authentication, as BBC news is an established news site. 
Please see the link for more information:",https://www.snopes.com/fact-check/starbucks-supplies-shortage/,https://i.ibb.co/1drFKLZ/medium15.jpg,14
"Teen sought by police replies to Facebook post, asks the news to share a better photo","SYDNEY -- A teenager wanted by Australian police wasted no time to save face on social media after finding out that an ungloorous mugshot was being shared all over the country.

Amy Sharp, 18, replied to the Facebook post shared by a TV news station, which asked the public to call police if they identified her. Sharp, who was in custody for property offenses, had escaped from the Surry Hills Corrective Services Cell Complex, a correction center in Sydney, Australia.

After seeing that her fashion faux pas was shared by police, she couldn't even and kindly asked the station to use another photo of her, one that would make her look cuter. 

The narcissistic mistake might have been her undoing, as people suggested it might be easier for police to catch her after figuring out the location she uploaded the photo from. 

That hypothesis could have been the reason police found her only two days after the photo was shared with news networks.

Sharp was taken to a police station after being caught last Friday. She is expected to be charged for escaping.",easy,https://www.abcactionnews.com/news/national/teen-on-the-run-replies-to-post-on-facebook-asks-police-to-use-better-picture-of-her,FALSE,"This is a real news. This is a real story of an Australian teenager, Amy Sharp who requested that the media used a nicer photograph of her by commenting on the very social media post. Sometimes, truth can be as strange as fiction.
Please see the link for more information:",https://www.independent.co.uk/news/world/australasia/amy-sharp-sydney-teenage-fugitive-asks-better-mugshot-photo-facebook-police-a7215211.html,https://i.ibb.co/FJQ1wMr/hard15.png,15
China's Monster Three Gorges Dam is About To Slow The Rotation Of The Earth,The reservoir of Three Gorges Dam in China can retain an amount of water voluminous enough to slow and change the rotation of the Earth.,medium,NULL,FALSE,This is real news. Please see the link for more information:,https://www.snopes.com/fact-check/china-three-gorges-dam/,https://i.ibb.co/D78yZy9/easy16.webp,15
Singapore has changed time zones 6 times since 1905,"Between 1933 to 1941, Singapore moved the clock forward by 20 minutes, but later changed it to 30 minutes",hard,NULL,FALSE,"This is real news. It is true that since 1905, Singapore has changed time zones 6 times.
Please see the link for more information:",https://www.gov.sg/article/factually-sg50-edition-fun-facts-about-our-little-red-dot,https://i.ibb.co/zFH3fSZ/medium16.png,15
AirPods!?🥴,"Did you know even non-ionising radiation drastically effects your health over long sustained periods? Independent studies have been done to confirm this - check out bioinitiative.org for more info on that.

The issue with AirPods is that they literally sit inside your skull, they are so close to your brains it's unbelievable. One health issue caused by over exposure to low frequency EMF is the opening of the blood-brain barrier, which opens the gateway to allow heavy metals and toxic overloads to enter the brain. That's atrocious.

From my previous research, AirPods contain a H1 chip, which allows synch pairing between each earphone. If this is true, your brain is literally being cooked. Thousands of people have thrown them away after experiencing massive headaches and other symptoms from using them.

I don't personally use bluetooth headphones, i'm old school. I like the wires, but most the time i use speakerphone if i'm on a call. It's time we start protecting ourselves.

Please SAVE, SHARE & comment under this video if you feel it might help someone put there! 👇🏽",easy,NULL,TRUE,"This is fake news. When a post asks you to share or forward, you should think twice and ask why you are being urged to spread the message. Please click on the link to view the full fact check:",https://www.reuters.com/article/factcheck-health-airpods/fact-check-no-established-evidence-that-apple-airpods-harm-your-health-idUSL2N2OD0WO,https://i.ibb.co/QnSjfsr/easy17.png,16
I feel like this is a mind game,"Right and left brain dominant, if ur right brain is dominant, u will see combination of pink and white color, and if ur left brain is dominant, u will see it in grey and green color. Try with ur loved ones, very interesting.",medium,https://www.facebook.com/mygayday/posts/3450319268407495,TRUE,"This is fake news. It may be interesting, but don't let that mislead you. Please click on the link to view the full fact check:",https://www.reuters.com/article/factcheck-sneaker-color-brain/fact-check-sneaker-color-does-not-show-what-side-of-brain-is-dominant-idUSL1N2MJ1PA,https://i.ibb.co/gDT4nXW/medium17.png,16
A Banana has been chemically ripened if it is spotted with brown spots.,A banana has been chemically ripened if it is brown spotted with green stalk. If the stalk is balck then the banana is naturally ripened.,hard,https://twitter.com/nancyaddison/status/1342941213540843520,TRUE,This is fake news. It is impossible to tell with the naked eye how a banana ripened. Brown spots can appear on bananas regardless of the ripening method. Please click on the link to view the full fact check:,https://www.reuters.com/article/factcheck-bananas-ripening-idUSL1N2MD1Y8,https://i.ibb.co/FgqzBS4/hard17.jpg,16
BREAKING NEWS: China to end its one-child policy in August 2021,The Chinese government has finally decided to put an end to its one-child policy due to declining birth-rate.,easy,NULL,TRUE,"This is fake news. This is a misleading claim, as China's one-child policy had ended in 2015, and not recently as this news suggests. Some fake news producers would reuse old news and present them as new to sow panic or confusion. Please click on the link to view the full fact check:",https://www.usatoday.com/story/news/factcheck/2021/07/25/fact-check-couples-china-can-have-3-children-up-2/5283655001/,https://i.ibb.co/Zmys9Wm/easy18.png,17
It snowed in one of the hottest places in the world,"(CNN) - It's quite a time for the weird weather, and it doesn't get much weirder than snow falling in one of the hottest places in the world. 

On Sunday, Ain Sefra, a desert town in Algebria known as the ""Gateway to the Sahara"", experienced a substantial amoun of snow for reportedly the third time in 40 years. Some reports say parts of the area got nearly 15 inches of snow, but Ain Sefra officially reported less than one inch. 

It was enough to provide some otherworldly visuals from an area that routinely sees some of the hottest temperature on earth during the summer. 

Now, it's not uncommon for the temperature across even the hottest of deserts to plunge tens of degrees Farenheit at night, meaning any unusual snow could stick around for a while. But photographers at the scene said the snow actually stayed intact for a good portion of the day.

""We were really surprised when we woke up to see snow again,"" photographer Karim Bouchetata told Shutterstock. ""It stayed all day on Sunday and began melting at around 5p.m.""

While snow is historically scant in the desert area, a similar snow phenomenon happened just last year. Before that, it had been 37 years since Ain Sefra's last snowfall.",medium,https://edition.cnn.com/2018/01/09/africa/sahara-snow-trnd/index.html,FALSE,This is real news. Please see the link for more information:,https://www.bbc.com/news/av/world-africa-42627090,https://i.ibb.co/jr0F0Bm/Mandatory-Credit-Photo-by-Geoff-Robinson-Photography-REX-Shutterstock-9309883af-Snow-in-the-Sahara-D.jpg,17
Argan: The tree that attracts goats,"We often see goats rambling on the grassland, but you might see a very unusual sight when traveling around Morocco: goats eating on the trees!

The special tree that goats like to climb is the Argan tree (Argania spinosa), a plant that is endemic to the arid and semi-arid regions of southwestern Morocco. The tree produces small flowers with five yellow petals. Its fruit has thick peel, sweet-smelling pulp that attracts the goats, and a hard nut that contains oil-rich seeds.

The sight of goats perching on the trees is so unique that it attracts numbers of tourists to take pictures. However, since the fruit takes about a year to mature, and ripen in June to July, it means people can only have an authentic spotting during these months.

But out of the drive for profit, many local farmers put the goats on the trees intentionally during tourist season even when there are no fruits on the trees, so they can charge for taking pictures. Such behaviors not only cause goats to suffer from scorching days standing in the sun, but also damage the trees that are already evaluated as Vulnerable by International Union for Conservation of Nature (IUCN).

Besides, the oil extracted from the seeds of Argan tree is rich in essential fatty acid. It's used in cooking and cosmetics, as well as a treatment for skin diseases. The high demand for its nut earns the plant another name: Morocco's ""desert gold.""",hard,https://news.cgtn.com/news/2019-09-08/Argan-The-tree-that-attracts-goats-JOE29Xj6I8/index.html,FALSE,This is real news. Please see the link for more information:,https://www.nationalgeographic.com/travel/article/video-watch-bizarre-tree-climbing-goats-in-action-morocco,https://i.ibb.co/KDNHVXB/hard18.jpg,17
533 million Facebook users' phone numbers and personal data have been leaked online.,"A user in a low-level hacking forum on Saturday published the phone numbers and personal data of hundreds of millions of Facbook users for free. 

The exposed data includes the personal information of over 533 million Facebook users from 106 countries, including over 32 million records on users in the US, 11 million on users in the UK, and 6 million on users in India. It includes their phone numbers, Facebook IDs, full names, locations, birthdates, bios, and, in some cases, email addresses.

Insider reviewed a sample of the backend data and verified several records by matching known Facebook users' phone numbers with the IDs listed in the data set. We also verified records by testing email addresses from the data set in Facebook's password-reset feature, which can be used to partially reveal a user's phone number.

A Facebook spokesperson told Insider that the data had been scraped because of a vulnerability that the company patched in 2019.

While it's a couple of years old, the leaked data could prove valuable to cybercriminals who use people's personal information to impersonate them or scam them into handing over login credentials, according to Alon Gal the chief technology officer of the cybercrime intelligence firm Hudson Rock, who discovered the trough of leaked data on Saturday.

""A database of that size containing the private information such as phone numbers of a lot of Facebook's users would certainly lead to bad actors taking advantage of the data to perform social-engineering attacks [or] hacking attempts,"" Gal told Insider.

Gal discovered the leaked data in January when a user in the same hacking forum advertised an automated bot that could provide phone numbers for hundreds of millions of Facebook users for a price. Motherboard reported on that bot's existence at the time and verified that the data was legitimate. 

Now the data set has been posted on the hacking forum for free, maing it available to anyone with redimentary data skills.

Insider attempted to reach the leaker through the messaging app Telegram but did not get a response. 

This is not the first time that lots of Facebook users' phone numbers have been found exposed online. The vulnerability uncovered in 2019 allowed millions of phone numbers to be scraped from Facebook's servers in violation of its terms of service. Facebook said that vulnerability was patched in August 2019.

Facebook vowed to crack down on mass data-scraping after Cambridge Analytica scraped the data of over 80 million users in violation of Facebook's terms of service to target voters with political ads in the 2016 election. 

Gal said that from a security standpoint there wasn't much Facebook could do to help users affected by the breach since their data is already out in the open, but he added that Facebook could notify users so they could remain vigilant about phishing schemes or fraud using their data.

""Individuals signing up to a reputabl company like Facebook are trusting them with their data, and Facebook [is] supposed to treat the data with utmost respect,"" Gal said. ""Users having their personal information leaked is a huge breach of trust and should be handled accordingly.""",easy,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4,FALSE,This is real news. Please see the link for more information:,https://www.snopes.com/fact-check/facebook-data-breach/,https://i.ibb.co/CJVCSvw/medium19.jpg,18
"Data shows fully vaccinated individuals in UK, NZ are developing AIDS","Data recently released by the New Zealand government showed fully vaccinated individuals developing acquired immunodeficiency syndrome or AIDS, showing major degradation of the immune system. Just like other governments before, the New Zealand Ministry of Health only provides a cumulative total of Wuhan coronavirus (COVID-19) cases from August 16, 2021, showing misleading numbers considering that the nation is currently experiencing its biggest outbreak to date. However, this is not the only problem when it comes to New Zealand's reporting. On August 16, 2021, the date the Health Ministry has chosen to provide a cumulative total, only 18.4 percent of the population was considered fully vaccinated. Infections have been increasing, with 20,632 new infections reported on average every day. This is around 99 percent of the peak average reported on March 7. New Zealand has administered at least 10,757,940 doses of the vaccines so far. Assuming every person needs two doses, that number is enough for 109.4 percent of the country’s population. However, only 78 percent are considered fully vaccinated. The data presented by the government showed that the real-world two-dose COVID-19 vaccine effectiveness between January 6 to February 11,  proved to be in the negative at -94.4 percent. However, between February 12 to 24, the numbers declined further, with effectiveness estimated to have fallen to -281.35 percent. This means the fully vaccinated are 3.8 times more likely to be infected with COVID-19 than the unvaccinated or single-dose population. Much of the data that is being released also showed that the shots are slowly giving the population AIDS, which is a complete degradation of the immune system. When this happens, even the slightest cold could be detrimental to their health, as their immune systems will be too weak to fight off the virus. (Related: Dr. Zev Zelenko: Anyone with immune deficiency can die from a cold.)
UK data shows similar evidence.

The U.K. government also recently released more documentation that showed strong evidence of the COVID-19 vaccine causing AIDS. According to compiled data, vaccine immunity is not supposed to wane. The human immune system, however, can get damaged or degraded. Vaccine effectiveness, as it turns out, is not the measure of a vaccine per se, but a measure of its effectiveness in terms of the recipient's immune system performance compared to the immune system performance of an unvaccinated person. The first time the body encounters a germ, it can take several days to make and use all the germ-fighting tools needed to get over the infection. After, the immune system remembers what it learned about how to protect the body against the disease. Vaccines, on the other hand, help develop immunity by imitating an infection. Once the imitation goes away, the body is left with a supply of ""memory"" t-cells and antibodies that will remember how to fight the disease in the future. So when authorities say that vaccine effectiveness weakens over time, they really mean that the immune system is the one that is weakening. In taking the case rates found in previous reports, tracking the real-world vaccine effectiveness and immune system performance is easy based on previously published data. Based on the information given, the 40 to 49-year-old age range had the worst immune system performance, which was recorded at -60 percent by January 2. It declined further to -67.7 percent by January 30. With the information given, it can be gauged that COVID-19 death rates per 100,000, by vaccination status in England, calculated from the number of deaths found and the size of the double-vaccinated population, it seems that the double vaccinated population has the highest death rate per 100,000 in every age group except for the 18 to 29 and 40 to 49-year-olds. However, it is expected that the rate could switch up in the coming weeks.",medium,https://citizens.news/600779.html,TRUE,This is fake news. There has been no reports released by the New Zealand or UK government saying that people who have taken COVID-19 vaccines developed HIV/AIDS. There has also been no reports or data published making this claim. Please click on the link to view the full fact check:  ,https://blackdotresearch.sg/covid-vaccines-causing-people-to-develop-aids/,https://i.ibb.co/CQRTcG5/12jul22medium18.png,18
Visegrád 24 @visegrad24,"The Japanese ambassador to Ukraine stayed in Kiev.

His great-grandfather's samurai sword and traditional armor was delivered to him from Tokyo, Japan. 

In a FB post, he declared that the samurai must protect the country in which he is!

“Glory to Japan! Glory to Ukraine!""

🇯🇵🇺🇦",hard,https://web.archive.org/web/20220224100636/https://twitter.com/visegrad24/status/1496788626658807814,TRUE,"This is fake news. While the individual in the photo is an ambassador, he is actually the Ukrainian ambassador to Japan wearing samurai armour given to him by a Japanese samurai artist. A reverse image search shows that this photo was posted by the Ukrainian ambassador Twitter account. Hence, the photo has been mislabeled. Please click on the link to view the full fact check:",https://blackdotresearch.sg/japanese-ambassador-to-ukraine-samurai/,https://i.ibb.co/3p1vL1F/12jul22hard18.png,18
Hui Wen Wong @huiwen12,Carlsberg halal aldy?,easy,https://twitter.com/huiwen12/status/458094098181001218,TRUE,"This is fake news. This image actually started circulating in Malaysia in 2014, and was debunked by The Malaysian Islamic Development Department (JAKIM). Yet, this image was once again picked up and spread recently on numerous social media accounts and online blogs. Please click on the link to view the full fact check:",https://blackdotresearch.sg/is-carlsberg-beer-halal-certified/,https://i.ibb.co/TKKQJZ3/12jul22easy19.png,19
The FBI's 83-page guide to internet slang is an absolute rollercoaster,"For about as long as the internet has existed, it’s been used for illicit activity. Before e-commerce ballooned into a multi-trillion dollar industry, the first deal facilitated by the internet was a weed exchange between students at Stanford University and MIT at some point between 1971 and 1972. These days, McAffee estimates cybercrime costs the global economy as much as $600 billion, and the FBI’s efforts to curb the harm of internet fraud have taken many forms over the years.

The agency even compiled an internal 83-page guide to internet slang which, thanks to a 2014 Freedom of Information Act request, is now available for your enjoyment. It’s on the Internet Archive, albeit in very low quality, and it has 2,800 entries from ALIHAL (at least I have a life) to WWOTW (wicked witch of the west) and everywhere in between.

It’s unclear whether anyone is conducting illicit online activities that require the acronym “WYLASOMWTC” (Would you like a saucer of milk with that comment?) but if they are, the FBI will be onto you!

A number of slang terms were new to me:

IOKIYAR = it’s ok if you’re a Republican
BFP = big fat positive (i.e. pregnant)
BIC = believe it comrade
FTASB = faster than a speeding bullet
DPYN = don’t pick your nose
EB = eyeball
IITYWTMWYKM = if I tell you what this means will you kiss me
A new personal favorite is H9, which the esteemed Federal Bureau of Investigations defines as “really hate (H8 + 1) and the various numerical ways to say “I love you”: either 381 (3 words, 8 letters, 1 meaning) or 143 (one letter, four letters, 3 letters).

HOW DO YOU DO, FELLOW KIDS? — Baffled adults must decrypt the messages their kids send online, from the everyday ROFL to the more unusual acronym DITYID (“Did I tell you I’m depressed?”). And hey, the FBI is no different! Even the foremost U.S. intelligence agency needs a Twitter lingo cheat sheet, which its employees “should find useful in [their] work or for keeping up with [their] children and/or grandchildren.”

Good faith guides to internet lingo are so widespread that they’ve become a meme. Is your child texting about Charles Dickens? Herpetology? What about Coronavirus? Even the brands are mocking clueless adults.",medium,https://www.inputmag.com/culture/fbi-guide-to-internet-slang,FALSE,"This is real news. While this story is not new, and was first reported in 2014, it is true that when the internet and Twitter became much more prominent, the FBI created this list of internet shorthand to help their agents understand internet lingo. Please click on the link to view the full fact check:",https://www.snopes.com/fact-check/fbi-internet-slang/,https://i.ibb.co/VW1Y8fz/12jul22medium19.png,19
PETA Urges Phish To Become Sea Kittens,"BURLINGTON, Vt. —
If there is anything sacred in Vermont's music scene, the Green Mountain-grown jam rock band Phish tops the list, but apparently even they can't avoid the People for the Ethical Treatment of Animals' seemingly endless public scrutiny.

On Friday, PETA Special Projects Manager Michelle Cho issued a letter to area media outlets outlining a request that the band temporarily change its name to the ""Sea Kittens.""

The letter, addressed to Trey Anastasio, Jon Fishman, Mike Gordon and Page McConnell, says the request is an attempt to gain empathy for fish, ""because few people are aware that fish are actually smart animals with personalities.""

Has PETA Gone Too Far This Time? Click To Comment

""For example, they communicate and develop relationships with one another, feel pain when injured (their lips are particularly sensitive, and they use them like we use our fingers), show affection by gently rubbing against other fish, and even grieve when other fish they like die,"" the letter continues.

Cho's letter urges people to take on activities such as hiking, instead of ""impaling fish with metal hooks for fun"" and claims that fish endure a brutal death by fishermen. ""Phish has a long history of promoting social justice. Renaming the band Sea Kittens would be a great way to help sea kittens rock on, free from fishing nets and hooks, even if just for a day,"" the letter says.

WPTZ.com tried to contact the band, but a message left with their Burlington office was not returned. The band got back together earlier this year and launched an extensive tour.

PETA's latest foray into the world of public discourse comes after several regional protests that included a woman appearing virtually nude on Church Street in Burlington, asking Ben & Jerry's to use human breast milk in their ice cream, and contending that people who eat meat should pay more for life insurance.",hard,https://www.mynbc5.com/article/peta-urges-phish-to-become-sea-kittens/3290602,FALSE,"This is real news. PETA is notorious for bombastic and attention-grabbing campaigns, and one of such campaign is to rename fishes as sea kittens. While this campaign was initiated in 2009, the campaign website is still active. Please click on the link to view the full fact check:",https://www.snopes.com/fact-check/peta-rename-fish-sea-kittens/,https://i.ibb.co/kc7WXb0/12jul22hard19.png,19
Diann Barth,"Love this wonderful cat in Exeter, UK. He travels all over—hospitals, schools, nursing homes, businesses to greet and comfort people. The Queen actually knighted him earlier this month!!",easy,https://www.facebook.com/diann.barth/posts/5656492874366900,TRUE,This is fake news. This image is a digitally altered image where the cat was photoshopped into a photo of Queen Elizabeth kighting a person. This altered photo was originally posted on the Facebook page dedicated to the cat in the photo as part of an April Fool's joke. Please click on the link to view the full fact check:,https://checkyourfact.com/2022/04/30/fact-check-queen-elizabeth-cat-knighthood-photo/,https://i.ibb.co/p3z0c9Q/12jul22easy20.png,20
